datetime,nkill
2017-01-01,1
2017-01-03,0
2017-01-04,3
2017-01-06,7
2017-01-07,1
2017-01-11,2
2017-01-12,5
2017-01-15,4
2017-01-16,0
2017-01-20,1
2017-01-21,2
2017-01-22,6
2017-01-25,0
2017-01-26,2
2017-01-27,0
2017-01-29,1
2017-01-30,0
2017-01-31,0
2017-02-06,4
2017-02-07,1
2017-02-08,1
2017-02-09,4
2017-02-10,1
2017-02-11,1
2017-02-12,2
2017-02-15,3
2017-02-18,1
2017-02-19,1
2017-02-20,0
2017-02-21,4
2017-02-22,0
2017-02-25,3
2017-02-26,1
2017-02-27,0
2017-02-28,0
2017-03-03,0
2017-03-04,1
2017-03-05,0
2017-03-07,0
2017-03-10,5
2017-03-15,3
2017-03-18,3
2017-03-19,1
2017-03-22,5
2017-03-24,2
2017-03-25,4
2017-03-26,6
2017-03-27,2
2017-03-30,4
2017-04-01,3
2017-04-02,2
2017-04-03,3
2017-04-06,1
2017-04-07,13
2017-04-09,2
2017-04-13,1
2017-04-15,0
2017-04-16,0
2017-04-20,0
2017-04-21,2
2017-04-26,0
2017-04-27,1
2017-04-28,0
2017-04-29,3
2017-04-30,7
2017-05-01,2
2017-05-02,1
2017-05-04,1
2017-05-07,2
2017-05-09,3
2017-05-10,1
2017-05-14,1
2017-05-16,3
2017-05-20,0
2017-05-21,1
2017-05-26,0
2017-05-27,9
2017-05-28,1
2017-05-29,1
2017-05-30,1
2017-06-01,3
2017-06-02,3
2017-06-03,5
2017-06-05,6
2017-06-06,3
2017-06-08,0
2017-06-09,2
2017-06-10,0
2017-06-11,0
2017-06-13,2
2017-06-14,5
2017-06-15,6
2017-06-17,1
2017-06-18,3
2017-06-22,1
2017-06-24,1
2017-06-25,1
2017-06-27,0
2017-06-30,2
2017-07-01,2
2017-07-02,0
2017-07-03,4
2017-07-04,2
2017-07-05,6
2017-07-06,0
2017-07-08,1
2017-07-09,0
2017-07-15,1
2017-07-18,1
2017-07-19,1
2017-07-22,0
2017-07-23,1
2017-07-26,1
2017-07-27,1
2017-07-28,0
2017-07-29,3
2017-07-30,2
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,1
2017-08-04,3
2017-08-05,2
2017-08-06,0
2017-08-08,1
2017-08-12,1
2017-08-13,0
2017-08-14,2
2017-08-16,0
2017-08-19,1
2017-08-20,2
2017-08-21,6
2017-08-22,0
2017-08-24,4
2017-08-25,0
2017-08-27,2
2017-08-28,2
2017-09-02,1
2017-09-03,2
2017-09-04,0
2017-09-06,0
2017-09-09,0
2017-09-10,10
2017-09-13,2
2017-09-16,0
2017-09-17,2
2017-09-20,0
2017-09-23,3
2017-09-24,2
2017-09-26,3
2017-09-28,1
2017-09-30,1
2017-10-01,62
2017-10-03,0
2017-10-05,4
2017-10-06,0
2017-10-07,0
2017-10-09,0
2017-10-10,0
2017-10-11,4
2017-10-12,2
2017-10-15,3
2017-10-16,1
2017-10-17,0
2017-10-18,3
2017-10-21,0
2017-10-22,2
2017-10-23,2
2017-10-27,0
2017-10-28,1
2017-10-29,1
2017-10-31,1
2017-11-03,1
2017-11-04,1
2017-11-05,27
