datetime,magnitude
2010-01-01,499.0
2010-02-01,635.0
2010-03-01,519.0
2010-04-01,433.0
2010-05-01,472.0
2010-06-01,455.0
2010-07-01,459.0
2010-08-01,604.0
2010-09-01,602.0
2010-10-01,634.0
2010-11-01,557.0
2010-12-01,604.0
2011-01-01,645.0
2011-02-01,596.0
2011-03-01,692.0
2011-04-01,638.0
2011-05-01,752.0
2011-06-01,885.0
2011-07-01,1170.0
2011-08-01,1565.0
2011-09-01,1404.0
2011-10-01,1371.0
2011-11-01,1343.0
2011-12-01,1172.0
2012-01-01,1491.0
2012-02-01,1355.0
2012-03-01,1302.0
2012-04-01,1396.0
2012-05-01,1782.0
2012-06-01,2140.0
2012-07-01,3072.0
2012-08-01,4488.0
2012-09-01,5056.0
2012-10-01,5635.0
2012-11-01,5538.0
2012-12-01,4675.0
2013-01-01,5480.0
2013-02-01,4248.0
2013-03-01,4710.0
2013-04-01,4742.0
2013-05-01,4755.0
2013-06-01,5022.0
2013-07-01,6226.0
2013-08-01,6895.0
2013-09-01,11182.0
2013-10-01,12307.0
2013-11-01,11323.0
2013-12-01,10009.0
2014-01-01,11353.0
2014-02-01,10573.0
2014-03-01,11207.0
2014-04-01,11469.0
2014-05-01,13187.0
2014-06-01,16380.0
2014-07-01,21067.0
2014-08-01,22332.0
2014-09-01,29282.0
2014-10-01,29596.0
2014-11-01,26458.0
2014-12-01,24192.0
2015-01-01,16319.0
2015-02-01,12247.0
2015-03-01,14915.0
2015-04-01,17008.0
2015-05-01,19205.0
2015-06-01,30963.0
2015-07-01,50377.0
2015-08-01,82941.0
2015-09-01,102089.0
2015-10-01,86565.0
2015-11-01,72319.0
2015-12-01,41794.0
2016-01-01,39576.0
2016-02-01,43609.0
2016-03-01,38346.0
2016-04-01,39492.0
2016-05-01,35784.0
2016-06-01,32968.0
2016-07-01,29105.0
2016-08-01,32698.0
2016-09-01,28910.0
2016-10-01,12413.0
2016-11-01,9700.0
2016-12-01,8414.0
2017-01-01,7054.0
2017-02-01,7382.0
2017-03-01,9411.0
2017-04-01,7148.0
2017-05-01,8203.0
2017-06-01,7420.0
2017-07-01,6115.0
